date,suhu,kelembaban_relatif,tekanan_udara,kecepatan_angin,curah_hujan,radiasi_gelombang_pendek,bulan,hari_dalam_tahun
2020-01-01 00:10:00,0.71,86.1,1008.89,1.02,0.0,0.0,1,1
2020-01-01 00:20:00,0.75,85.2,1008.76,0.43,0.0,0.0,1,1
2020-01-01 00:30:00,0.73,85.1,1008.66,0.61,0.0,0.0,1,1
2020-01-01 00:40:00,0.37,86.3,1008.64,1.11,0.0,0.0,1,1
2020-01-01 00:50:00,0.33,87.4,1008.61,0.49,0.0,0.0,1,1
2020-01-01 01:00:00,0.34,87.1,1008.44,0.63,0.0,0.0,1,1
2020-01-01 01:10:00,0.19,87.4,1008.49,0.88,0.0,0.0,1,1
2020-01-01 01:20:00,0.03,88.1,1008.4,1.05,0.0,0.0,1,1
2020-01-01 01:30:00,0.11,88.1,1008.29,0.9,0.0,0.0,1,1
2020-01-01 01:40:00,0.22,87.4,1008.28,0.62,0.0,0.0,1,1
2020-01-01 01:50:00,-0.04,87.5,1008.24,0.61,0.0,0.0,1,1
2020-01-01 02:00:00,-0.21,89.1,1008.32,0.5,0.0,0.0,1,1
2020-01-01 02:10:00,-0.1,88.6,1008.24,0.48,0.0,0.0,1,1
2020-01-01 02:20:00,-0.16,88.1,1008.35,0.57,0.0,0.0,1,1
2020-01-01 02:30:00,-0.22,88.9,1008.3,0.28,0.0,0.0,1,1
2020-01-01 02:40:00,-0.06,88.2,1008.4,0.81,0.0,0.0,1,1
2020-01-01 02:50:00,-0.17,88.6,1008.39,0.42,0.0,0.0,1,1
2020-01-01 03:00:00,-0.05,88.5,1008.46,0.46,0.0,0.0,1,1
2020-01-01 03:10:00,-0.21,88.7,1008.15,0.32,0.0,0.0,1,1
2020-01-01 03:20:00,-0.77,89.2,1008.07,1.6,0.0,0.0,1,1
2020-01-01 03:30:00,-0.93,90.6,1008.12,1.2,0.0,0.0,1,1
2020-01-01 03:40:00,-0.86,90.8,1008.04,1.08,0.0,0.0,1,1
2020-01-01 03:50:00,-0.87,90.9,1008.16,0.79,0.0,0.0,1,1
2020-01-01 04:00:00,-1.02,90.9,1008.0,1.83,0.0,0.0,1,1
2020-01-01 04:10:00,-1.15,91.4,1007.76,1.16,0.0,0.0,1,1
2020-01-01 04:20:00,-1.08,91.7,1007.84,0.47,0.0,0.0,1,1
2020-01-01 04:30:00,-1.59,90.5,1007.85,0.81,0.0,0.0,1,1
2020-01-01 04:40:00,-1.82,92.1,1008.02,0.73,0.0,0.0,1,1
2020-01-01 04:50:00,-1.84,92.4,1007.92,1.05,0.0,0.0,1,1
2020-01-01 05:00:00,-1.84,93.2,1007.63,1.53,0.0,0.0,1,1
2020-01-01 05:10:00,-2.14,92.3,1007.63,1.18,0.0,0.0,1,1
2020-01-01 05:20:00,-2.34,93.4,1007.9,0.41,0.0,0.0,1,1
2020-01-01 05:30:00,-2.2,93.8,1007.99,1.09,0.0,0.0,1,1
2020-01-01 05:40:00,-2.3,93.7,1007.85,1.11,0.0,0.0,1,1
2020-01-01 05:50:00,-2.4,94.1,1007.81,0.47,0.0,0.0,1,1
2020-01-01 06:00:00,-2.51,94.0,1007.81,0.85,0.0,0.0,1,1
2020-01-01 06:10:00,-2.83,94.1,1007.91,1.36,0.0,0.0,1,1
2020-01-01 06:20:00,-2.79,94.6,1008.06,1.0,0.0,0.0,1,1
2020-01-01 06:30:00,-2.74,94.8,1008.22,0.62,0.0,0.0,1,1
2020-01-01 06:40:00,-2.63,95.0,1008.19,0.46,0.0,0.0,1,1
2020-01-01 06:50:00,-2.5,95.0,1008.21,0.41,0.0,0.0,1,1
2020-01-01 07:00:00,-2.26,95.0,1008.17,0.95,0.0,0.0,1,1
2020-01-01 07:10:00,-2.31,94.3,1008.16,1.24,0.0,0.0,1,1
2020-01-01 07:20:00,-2.53,93.8,1008.17,1.0,0.0,0.0,1,1
2020-01-01 07:30:00,-2.68,94.1,1008.13,0.72,0.0,0.0,1,1
2020-01-01 07:40:00,-2.73,94.2,1008.25,0.47,0.0,0.0,1,1
2020-01-01 07:50:00,-2.79,94.3,1008.17,0.89,0.0,0.0,1,1
2020-01-01 08:00:00,-2.84,94.5,1008.16,1.37,0.0,0.0,1,1
2020-01-01 08:10:00,-2.89,94.5,1008.12,1.0,0.0,1.21,1,1
2020-01-01 08:20:00,-3.02,94.4,1008.12,0.36,0.0,2.21,1,1
2020-01-01 08:30:00,-2.84,94.7,1008.12,0.21,0.0,7.65,1,1
2020-01-01 08:40:00,-2.91,93.9,1008.04,0.7,0.0,18.71,1,1
2020-01-01 08:50:00,-3.11,93.6,1007.96,1.13,0.0,28.57,1,1
2020-01-01 09:00:00,-3.08,94.0,1008.07,1.02,0.0,34.21,1,1
2020-01-01 09:10:00,-3.03,93.8,1008.17,0.99,0.0,70.62,1,1
2020-01-01 09:20:00,-2.95,93.4,1008.28,0.91,0.0,89.34,1,1
2020-01-01 09:30:00,-3.01,92.9,1008.2,0.89,0.0,123.14,1,1
2020-01-01 09:40:00,-2.84,92.4,1008.31,0.63,0.0,169.62,1,1
2020-01-01 09:50:00,-2.67,92.5,1008.41,0.56,0.0,190.95,1,1
2020-01-01 10:00:00,-1.93,91.1,1008.45,0.29,0.0,210.06,1,1
2020-01-01 10:10:00,-1.53,87.4,1008.5,0.45,0.0,224.14,1,1
2020-01-01 10:20:00,-1.25,86.1,1008.46,0.47,0.0,236.82,1,1
2020-01-01 10:30:00,-1.24,86.1,1008.49,0.87,0.0,253.92,1,1
2020-01-01 10:40:00,-1.32,86.4,1008.37,0.77,0.0,277.06,1,1
2020-01-01 10:50:00,-1.03,85.9,1008.36,0.67,0.0,292.56,1,1
2020-01-01 11:00:00,-1.14,86.6,1008.34,0.78,0.0,303.02,1,1
2020-01-01 11:10:00,-0.83,85.8,1008.21,1.33,0.0,307.04,1,1
2020-01-01 11:20:00,-0.65,85.5,1008.02,1.48,0.0,303.62,1,1
2020-01-01 11:30:00,-0.43,85.0,1008.03,1.46,0.0,298.39,1,1
2020-01-01 11:40:00,-0.4,84.8,1007.84,1.24,0.0,296.38,1,1
2020-01-01 11:50:00,-0.06,84.1,1007.69,0.89,0.0,290.54,1,1
2020-01-01 12:00:00,0.68,82.0,1007.62,0.7,0.0,285.11,1,1
2020-01-01 12:10:00,0.93,80.5,1007.59,0.83,0.0,283.5,1,1
2020-01-01 12:20:00,1.23,80.1,1007.56,0.95,0.0,279.07,1,1
2020-01-01 12:30:00,1.7,78.3,1007.44,1.24,0.0,272.64,1,1
2020-01-01 12:40:00,1.98,77.5,1007.29,0.99,0.0,266.6,1,1
2020-01-01 12:50:00,2.62,75.3,1007.12,0.65,0.0,247.69,1,1
2020-01-01 13:00:00,2.83,74.2,1007.04,0.91,0.0,230.58,1,1
2020-01-01 13:10:00,2.87,74.1,1006.98,1.15,0.0,222.33,1,1
2020-01-01 13:20:00,3.09,73.7,1006.83,0.9,0.0,218.11,1,1
2020-01-01 13:30:00,3.86,70.9,1006.79,0.86,0.0,211.67,1,1
2020-01-01 13:40:00,3.84,70.7,1006.69,1.05,0.0,206.04,1,1
2020-01-01 13:50:00,4.03,70.0,1006.6,0.68,0.0,196.38,1,1
2020-01-01 14:00:00,3.7,70.8,1006.41,1.31,0.0,187.32,1,1
2020-01-01 14:10:00,3.45,72.2,1006.3,0.92,0.0,176.66,1,1
2020-01-01 14:20:00,3.64,71.4,1006.26,0.92,0.0,163.58,1,1
2020-01-01 14:30:00,3.89,70.3,1006.19,0.95,0.0,149.5,1,1
2020-01-01 14:40:00,3.87,70.4,1006.06,0.82,0.0,136.82,1,1
2020-01-01 14:50:00,4.32,69.02,1006.01,0.62,0.0,120.72,1,1
2020-01-01 15:00:00,4.58,68.2,1006.01,0.55,0.0,104.43,1,1
2020-01-01 15:10:00,4.2,69.47,1006.03,0.79,0.0,87.12,1,1
2020-01-01 15:20:00,4.07,70.3,1006.02,0.5,0.0,67.81,1,1
2020-01-01 15:30:00,4.44,69.19,1006.02,0.36,0.0,47.69,1,1
2020-01-01 15:40:00,4.5,68.67,1005.99,0.54,0.0,29.18,1,1
2020-01-01 15:50:00,4.34,68.54,1005.87,0.78,0.0,15.69,1,1
2020-01-01 16:00:00,3.74,70.4,1005.83,0.91,0.0,8.45,1,1
2020-01-01 16:10:00,3.23,72.5,1005.78,1.08,0.0,4.63,1,1
2020-01-01 16:20:00,2.99,73.4,1005.71,1.06,0.0,1.81,1,1
2020-01-01 16:30:00,2.89,73.7,1005.71,1.06,0.0,0.0,1,1
2020-01-01 16:40:00,2.77,74.0,1005.76,0.5,0.0,0.0,1,1
2020-01-01 16:50:00,2.6,74.7,1005.88,0.24,0.0,0.0,1,1
2020-01-01 17:00:00,2.09,76.6,1005.96,0.53,0.0,0.0,1,1
2020-01-01 17:10:00,1.63,78.9,1005.96,0.27,0.0,0.0,1,1
2020-01-01 17:20:00,1.26,79.3,1006.03,0.86,0.0,0.0,1,1
2020-01-01 17:30:00,1.03,79.6,1006.0,1.91,0.0,0.0,1,1
2020-01-01 17:40:00,0.99,81.3,1005.96,1.39,0.0,0.0,1,1
2020-01-01 17:50:00,0.85,81.6,1005.93,1.31,0.0,0.0,1,1
2020-01-01 18:00:00,0.63,81.9,1005.85,1.35,0.0,0.0,1,1
2020-01-01 18:10:00,0.35,81.8,1005.81,1.21,0.0,0.0,1,1
2020-01-01 18:20:00,0.05,84.0,1005.83,0.51,0.0,0.0,1,1
2020-01-01 18:30:00,-0.08,85.5,1005.78,0.44,0.0,0.0,1,1
2020-01-01 18:40:00,-0.21,85.3,1005.71,0.26,0.0,0.0,1,1
2020-01-01 18:50:00,-0.62,85.8,1005.7,0.24,0.0,0.0,1,1
2020-01-01 19:00:00,-1.32,85.9,1005.68,0.4,0.0,0.0,1,1
2020-01-01 19:10:00,-1.42,89.0,1005.71,0.58,0.0,0.0,1,1
2020-01-01 19:20:00,-1.31,90.1,1005.69,0.19,0.0,0.0,1,1
2020-01-01 19:30:00,-1.33,89.6,1005.61,0.5,0.0,0.0,1,1
2020-01-01 19:40:00,-1.38,89.8,1005.49,0.28,0.0,0.0,1,1
2020-01-01 19:50:00,-1.36,89.1,1005.57,0.5,0.0,0.0,1,1
2020-01-01 20:00:00,-1.48,89.7,1005.53,0.58,0.0,0.0,1,1
2020-01-01 20:10:00,-1.86,89.3,1005.46,0.78,0.0,0.0,1,1
2020-01-01 20:20:00,-2.15,90.6,1005.39,1.0,0.0,0.0,1,1
2020-01-01 20:30:00,-2.18,92.0,1005.34,0.66,0.0,0.0,1,1
2020-01-01 20:40:00,-2.24,92.2,1005.32,0.52,0.0,0.0,1,1
2020-01-01 20:50:00,-2.57,92.3,1005.26,0.79,0.0,0.0,1,1
2020-01-01 21:00:00,-2.78,92.8,1005.21,1.2,0.0,0.0,1,1
2020-01-01 21:10:00,-2.85,93.8,1005.12,0.51,0.0,0.0,1,1
2020-01-01 21:20:00,-2.95,93.7,1005.07,0.44,0.0,0.0,1,1
2020-01-01 21:30:00,-3.21,93.9,1005.01,0.44,0.0,0.0,1,1
2020-01-01 21:40:00,-3.06,94.7,1004.96,0.64,0.0,0.0,1,1
2020-01-01 21:50:00,-3.0,94.3,1004.84,0.64,0.0,0.0,1,1
2020-01-01 22:00:00,-3.21,94.0,1004.76,1.2,0.0,0.0,1,1
2020-01-01 22:10:00,-3.27,94.3,1004.64,1.03,0.0,0.0,1,1
2020-01-01 22:20:00,-3.31,94.4,1004.61,0.7,0.0,0.0,1,1
2020-01-01 22:30:00,-3.39,94.7,1004.54,0.62,0.0,0.0,1,1
2020-01-01 22:40:00,-3.35,94.8,1004.51,0.77,0.0,0.0,1,1
2020-01-01 22:50:00,-3.29,94.9,1004.62,0.38,0.0,0.0,1,1
2020-01-01 23:00:00,-3.19,94.5,1004.56,0.15,0.0,0.0,1,1
2020-01-01 23:10:00,-3.2,94.2,1004.45,0.41,0.0,0.0,1,1
2020-01-01 23:20:00,-3.32,93.4,1004.35,0.42,0.0,0.0,1,1
2020-01-01 23:30:00,-3.09,93.2,1004.28,0.36,0.0,0.0,1,1
2020-01-01 23:40:00,-2.96,90.4,1004.29,0.35,0.0,0.0,1,1
2020-01-01 23:50:00,-3.46,89.7,1004.26,0.73,0.0,0.0,1,1
2020-01-02 00:00:00,-3.39,91.4,1004.16,0.27,0.0,0.0,1,2
2020-01-02 00:10:00,-3.47,91.3,1004.13,0.35,0.0,0.0,1,2
